t,V10,N10,m10,h10,V30,N30,m30,h30,V50,N50,m50,h50,V100,N100,m100,h100
10.9,0.170905712,0.406348309,0.051122876,0.454435936,14.87565113,0.472331917,0.19644661,0.328018839,60.4527236,0.702008583,0.967102493,0.092875767,2.279810967,0.671067727,0.126915584,0.085351614
11,0.372233621,0.404810317,0.052341285,0.455982473,16.02872208,0.474281261,0.209606719,0.32403663,55.61750502,0.71191515,0.963455828,0.084859176,2.432840782,0.665166165,0.108875372,0.090509878
11.1,0.57230056,0.403353623,0.053578788,0.457431095,17.46030182,0.476662707,0.225555765,0.319354507,50.87959789,0.719761814,0.955492185,0.077907528,2.720186286,0.659425471,0.097190963,0.095531041
11.2,0.771083386,0.401976846,0.054835141,0.458782981,19.29969001,0.47960602,0.245440645,0.313742572,46.28886043,0.725758689,0.942942169,0.072006819,3.087698572,0.653867378,0.090098631,0.100382138
11.3,0.968568174,0.40067861,0.056110122,0.460039294,21.75879909,0.483313163,0.271066778,0.306838698,41.85715613,0.730094088,0.925158881,0.067149422,3.502983171,0.64850422,0.086288868,0.105044853
11.4,1.164750205,0.399457551,0.057403537,0.461201179,25.19742662,0.488112664,0.305361629,0.298056716,37.56779095,0.732930139,0.901227232,0.063327283,3.947001893,0.643342755,0.084826791,0.109509447
11.5,1.35963395,0.398312315,0.058715229,0.462269764,30.23768703,0.494562,0.353131867,0.286468502,33.37749865,0.734400305,0.870012293,0.060527832,4.408540876,0.638386454,0.085058534,0.113771097
11.6,1.553233051,0.397241565,0.060045079,0.463246154,37.9104173,0.503625914,0.421897159,0.270887701,29.21586492,0.734607036,0.830155094,0.058735735,4.880884218,0.633636829,0.086531372,0.117827776
11.7,1.745570309,0.39624398,0.061393014,0.464131431,49.52299595,0.516870987,0.520589483,0.250978206,24.98760558,0.733619858,0.780031168,0.057941139,5.359901591,0.629094196,0.088933125,0.121679039
11.8,1.936677687,0.39531826,0.062759009,0.464926652,64.9237939,0.5361319,0.648676074,0.228941297,20.58535146,0.731476126,0.71774509,0.058152137,5.842972308,0.624758122,0.092048642,0.125325346
11.9,2.12659634,0.394463123,0.064143099,0.465632847,78.94042331,0.561556082,0.778232006,0.20761572,15.92692165,0.72818908,0.641383884,0.059407861,6.328385467,0.620627684,0.09572944,0.128767659
12,2.315376675,0.393677316,0.06554538,0.466251013,85.46918278,0.589936641,0.873437177,0.188039439,11.03737868,0.723770379,0.550023721,0.061786794,6.815006957,0.616701629,0.09987282,0.132007212
